Australia,Institution,Local ID,GRID,ROR,Wikidata,ISNI,Indigenous staff Years,All staff Years
,Australian Catholic University,NA,grid.411958.0,04cxm4j25,Q781371,121941270,,
,Australian Defence Force Academy,NA,grid.97008.36,02j5s7g39,Q371370,403854044,,2007+ included in UNSW data
,Australian Maritime College,NA,grid.454236.2,05fv9c840,Q781571,122940210,,2008+ included in UTAS data
,Avondale College of Higher Education,NA,grid.462044.0,02r276210,Q2874477,403927071,,
,Avondale College,NA,grid.462044.0,02r276210,Q2874477,403927071,,
,Batchelor Institute of Indigenous Tertiary Education,NA,grid.431331.7,03n0gvg35,Q4868727,404730449,,
,Bond University,NA,grid.1033.1,006jxzx88,Q892188,404053820,,2007+
,Charles Darwin University,NA,grid.1043.6,048zcaj52,Q1064071,12157559X,,
,Northern Territory University,NA,grid.1043.6,048zcaj52,Q1064071,12157559X,,
,Charles Sturt University,NA,grid.1037.5,00wfvh315,Q1066188,403680777,,
,CQUniversity,NA,grid.1023.0,023q4bk22,Q1053985,121930854,,
,Central Queensland University,NA,grid.1023.0,023q4bk22,Q1053985,121930854,,
,Curtin University,NA,grid.1032.0,02n415q13,Q1145497,403754078,,
,Curtin University of Technology,NA,grid.1032.0,02n415q13,Q1145497,403754078,,
,Deakin University,NA,grid.1021.2,02czsnj07,Q1180978,105267079,,
,Edith Cowan University,NA,grid.1038.a,05jhnwe22,Q1284960,403894302,,
,Federation University Australia,NA,grid.1040.5,05qbzwv83,Q1121200,110914859,,
,University of Ballarat,NA,grid.1040.5,05qbzwv83,Q1121200,110914859,,
,Flinders University,NA,grid.1014.4,01kpzv902,Q15575,403672697,,
,Flinders University of South Australia,NA,grid.1014.4,01kpzv902,Q15575,403672697,,
,Griffith University,NA,grid.1022.1,02sc3r913,Q1202292,404375432,,
,James Cook University,NA,grid.1011.1,04gsp2c11,Q536512,404741797,,
,La Trobe University,NA,grid.1018.8,01rxfrp27,Q1478723,123420938,,
,Macquarie University,NA,grid.1004.5,01sf06y89,Q741082,121585405,,
,Monash University,NA,grid.1002.3,02bfwt286,Q598841,419367857,,
,Murdoch University,NA,grid.1025.6,00r4sry34,Q1375146,404366763,,
,Queensland University of Technology,NA,grid.1024.7,03pnv4752,Q1144750,89150953,,
,RMIT University,NA,grid.1017.7,04ttjf776,Q1057890,121633550,,
,Royal Melbourne Institute of Technology,NA,grid.1017.7,04ttjf776,Q1057890,121633550,,
,Southern Cross University,NA,grid.1031.3,001xkv632,001xkv632,121532610,,
,Swinburne University of Technology,NA,grid.1027.4,031rekg67,Q787234,404092862,,
,Australian National University,NA,grid.1001.0,019wvm592,Q127990,121807477,,
,University of Adelaide,NA,grid.1010.0,00892tw58,Q15574,419367304,,
,University of Melbourne,NA,grid.1008.9,01ej9dk98,Q319078,12179088X,,
,University of New England,NA,grid.1020.3,04r659a56,Q1814435,419367371,,
,University of Newcastle,NA,grid.266842.c,00eae9z71,Q531285,8831109X,,
,University of Notre Dame Australia,NA,grid.266886.4,02stey378,Q1887921,404026494,,
,The University of Queensland,NA,grid.1003.2,00rqy9422,Q866012,93207537,,
,University of Sydney,NA,grid.1013.3,0384j8v12,Q487556,41936834X,,
,University of Western Australia,NA,grid.1012.2,047272k79,Q1517021,419367910,,
,Torrens University Australia,NA,grid.449625.8,0351xae06,Q7827033,446542104,,2015+
,University of Canberra,NA,grid.1039.b,04s1nv328,Q1640648,403857472,,
,University of Divinity,NA,grid.431470.5,02xn8bh65,Q1467920,,,2006+
,The University of New South Wales,NA,grid.1005.4,03r8z3t63,Q734764,449020432,,
,University of South Australia,NA,grid.1026.5,01p93h210,Q15576,89945086,,
,University of Southern Queensland,NA,grid.1048.d,04sjbnx57,Q978124,404730844,,
,University of Tasmania,NA,grid.1009.8,01nfmeh72,Q962011,41936826X,,
,University of Technology Sydney,NA,grid.117476.2,03f0f6041,Q1145731,419367611,,
,University of the Sunshine Coast,NA,grid.1034.6,016gb9e15,Q1423677,115553415,,
,University of Wollongong,NA,grid.1007.6,00jtmb277,Q1350021,40486528X,,
,Victoria University,NA,grid.1019.9,04j757h98,Q180514,103969544,,
,Victoria University of Technology,NA,grid.1019.9,04j757h98,Q180514,103969544,,
,Western Sydney University,NA,grid.1029.a,03t52dk35,Q1141452,99395719,,
,University of Western Sydney,NA,grid.1029.a,03t52dk35,Q1141452,99395719,,